Requirement,Applicable,State,Justification,Control,Test,Evidence,Owner
v5.0.0-V11.2.2,Sim,Fail,Algoritmos são fixos e não existe estratégia documentada/testada de crypto agility.,"Node crypto/OpenSSL, SHA-256, randomBytes(32), Argon2id",auth.test.js; security.test.js,b571828; services/api/src/services/authService.js,Pendente decisão humana
v5.0.0-V11.2.3,Sim,Pass,Primitivas mantidas por Node/OpenSSL e CSPRNG de 256 bits demonstram o controle.,"Node crypto/OpenSSL, SHA-256, randomBytes(32), Argon2id",auth.test.js; security.test.js,b571828; services/api/src/services/authService.js,Projeto
v5.0.0-V11.3.1,Não,N/A,A aplicação não cifra dados no nível da aplicação nem deriva chaves de senhas; TLS e password hashing são avaliados separadamente.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V11.3.2,Não,N/A,A aplicação não cifra dados no nível da aplicação nem deriva chaves de senhas; TLS e password hashing são avaliados separadamente.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V11.3.3,Não,N/A,A aplicação não cifra dados no nível da aplicação nem deriva chaves de senhas; TLS e password hashing são avaliados separadamente.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V11.4.1,Sim,Pass,Primitivas mantidas por Node/OpenSSL e CSPRNG de 256 bits demonstram o controle.,"Node crypto/OpenSSL, SHA-256, randomBytes(32), Argon2id",auth.test.js; security.test.js,b571828; services/api/src/services/authService.js,Projeto
v5.0.0-V11.4.2,Sim,Fail,A API aceita qualquer hash Argon2id provisionado sem validar parâmetros mínimos.,"Node crypto/OpenSSL, SHA-256, randomBytes(32), Argon2id",auth.test.js; security.test.js,b571828; services/api/src/services/authService.js,Pendente decisão humana
v5.0.0-V11.4.3,Sim,Pass,Primitivas mantidas por Node/OpenSSL e CSPRNG de 256 bits demonstram o controle.,"Node crypto/OpenSSL, SHA-256, randomBytes(32), Argon2id",auth.test.js; security.test.js,b571828; services/api/src/services/authService.js,Projeto
v5.0.0-V11.4.4,Não,N/A,A aplicação não cifra dados no nível da aplicação nem deriva chaves de senhas; TLS e password hashing são avaliados separadamente.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V11.5.1,Sim,Pass,Primitivas mantidas por Node/OpenSSL e CSPRNG de 256 bits demonstram o controle.,"Node crypto/OpenSSL, SHA-256, randomBytes(32), Argon2id",auth.test.js; security.test.js,b571828; services/api/src/services/authService.js,Projeto
v5.0.0-V11.6.1,Sim,Pass,Primitivas mantidas por Node/OpenSSL e CSPRNG de 256 bits demonstram o controle.,"Node crypto/OpenSSL, SHA-256, randomBytes(32), Argon2id",auth.test.js; security.test.js,b571828; services/api/src/services/authService.js,Projeto
v5.0.0-V12.1.1,Sim,Pass,Nginx restringe TLS externo a 1.2/1.3 e não publica serviços plaintext no host.,Nginx TLS 1.2/1.3 e somente Nginx publicado no host,smoke TLS 1.2 aceito/1.1 negado; DAST,c492b8d; run 30087971980,Projeto
v5.0.0-V12.1.2,Sim,Fail,Cipher suites e ordem de preferência não são configuradas/testadas explicitamente.,Nginx TLS 1.2/1.3 e somente Nginx publicado no host,smoke TLS 1.2 aceito/1.1 negado; DAST,c492b8d; run 30087971980,Pendente decisão humana
v5.0.0-V12.1.3,Não,N/A,Certificados cliente não são usados como identidade; mTLS ainda não foi adotado.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V12.2.1,Sim,Pass,Nginx restringe TLS externo a 1.2/1.3 e não publica serviços plaintext no host.,Nginx TLS 1.2/1.3 e somente Nginx publicado no host,smoke TLS 1.2 aceito/1.1 negado; DAST,c492b8d; run 30087971980,Projeto
v5.0.0-V12.2.2,Sim,Fail,A execução testada usa certificado efêmero autoassinado; certificado público de produção não foi evidenciado.,Nginx TLS 1.2/1.3 e somente Nginx publicado no host,smoke TLS 1.2 aceito/1.1 negado; DAST,c492b8d; run 30087971980,Pendente decisão humana
v5.0.0-V12.3.1,Sim,Fail,"HTTP, MQTT e MongoDB internos permanecem plaintext.",Nginx TLS 1.2/1.3 e somente Nginx publicado no host,smoke TLS 1.2 aceito/1.1 negado; DAST,c492b8d; run 30087971980,Pendente decisão humana
v5.0.0-V12.3.2,Sim,Fail,Clientes internos não validam certificados porque TLS interno não foi implementado.,Nginx TLS 1.2/1.3 e somente Nginx publicado no host,smoke TLS 1.2 aceito/1.1 negado; DAST,c492b8d; run 30087971980,Pendente decisão humana
v5.0.0-V12.3.3,Sim,Fail,"Nginx, Dashboard e API comunicam-se por HTTP interno.",Nginx TLS 1.2/1.3 e somente Nginx publicado no host,smoke TLS 1.2 aceito/1.1 negado; DAST,c492b8d; run 30087971980,Pendente decisão humana
v5.0.0-V12.3.4,Sim,Fail,Não há CA interna/pinning para conexões entre serviços.,Nginx TLS 1.2/1.3 e somente Nginx publicado no host,smoke TLS 1.2 aceito/1.1 negado; DAST,c492b8d; run 30087971980,Pendente decisão humana
v5.0.0-V13.1.1,Sim,Pass,"Config fail-fast, Docker secrets, ACL/redes e imagem mínima demonstram o controle.","Config fail-fast, secrets por arquivo, ACL MQTT, redes internas e runtime mínimo",runtime.test.js; security.test.js; smoke Compose; Trivy,"c492b8d, a3e9974; run 30087971980",Projeto
v5.0.0-V13.2.1,Sim,Fail,"MQTT e MongoDB usam credenciais persistentes, não identidades de curta duração/certificados.","Config fail-fast, secrets por arquivo, ACL MQTT, redes internas e runtime mínimo",runtime.test.js; security.test.js; smoke Compose; Trivy,"c492b8d, a3e9974; run 30087971980",Pendente decisão humana
v5.0.0-V13.2.2,Sim,Fail,"A API conecta ao MongoDB com a conta root criada no bootstrap, violando mínimo privilégio.","Config fail-fast, secrets por arquivo, ACL MQTT, redes internas e runtime mínimo",runtime.test.js; security.test.js; smoke Compose; Trivy,"c492b8d, a3e9974; run 30087971980",Pendente decisão humana
v5.0.0-V13.2.3,Sim,Pass,"Config fail-fast, Docker secrets, ACL/redes e imagem mínima demonstram o controle.","Config fail-fast, secrets por arquivo, ACL MQTT, redes internas e runtime mínimo",runtime.test.js; security.test.js; smoke Compose; Trivy,"c492b8d, a3e9974; run 30087971980",Projeto
v5.0.0-V13.2.4,Sim,Pass,"Config fail-fast, Docker secrets, ACL/redes e imagem mínima demonstram o controle.","Config fail-fast, secrets por arquivo, ACL MQTT, redes internas e runtime mínimo",runtime.test.js; security.test.js; smoke Compose; Trivy,"c492b8d, a3e9974; run 30087971980",Projeto
v5.0.0-V13.2.5,Sim,Pass,"Config fail-fast, Docker secrets, ACL/redes e imagem mínima demonstram o controle.","Config fail-fast, secrets por arquivo, ACL MQTT, redes internas e runtime mínimo",runtime.test.js; security.test.js; smoke Compose; Trivy,"c492b8d, a3e9974; run 30087971980",Projeto
v5.0.0-V13.3.1,Sim,Fail,"Docker Compose monta arquivos, mas não há solução operacional de criação, rotação e destruição de secrets.","Config fail-fast, secrets por arquivo, ACL MQTT, redes internas e runtime mínimo",runtime.test.js; security.test.js; smoke Compose; Trivy,"c492b8d, a3e9974; run 30087971980",Pendente decisão humana
v5.0.0-V13.3.2,Sim,Pass,"Config fail-fast, Docker secrets, ACL/redes e imagem mínima demonstram o controle.","Config fail-fast, secrets por arquivo, ACL MQTT, redes internas e runtime mínimo",runtime.test.js; security.test.js; smoke Compose; Trivy,"c492b8d, a3e9974; run 30087971980",Projeto
v5.0.0-V13.4.1,Sim,Pass,"Config fail-fast, Docker secrets, ACL/redes e imagem mínima demonstram o controle.","Config fail-fast, secrets por arquivo, ACL MQTT, redes internas e runtime mínimo",runtime.test.js; security.test.js; smoke Compose; Trivy,"c492b8d, a3e9974; run 30087971980",Projeto
v5.0.0-V13.4.2,Sim,Pass,"Config fail-fast, Docker secrets, ACL/redes e imagem mínima demonstram o controle.","Config fail-fast, secrets por arquivo, ACL MQTT, redes internas e runtime mínimo",runtime.test.js; security.test.js; smoke Compose; Trivy,"c492b8d, a3e9974; run 30087971980",Projeto
v5.0.0-V13.4.3,Sim,Pass,"Config fail-fast, Docker secrets, ACL/redes e imagem mínima demonstram o controle.","Config fail-fast, secrets por arquivo, ACL MQTT, redes internas e runtime mínimo",runtime.test.js; security.test.js; smoke Compose; Trivy,"c492b8d, a3e9974; run 30087971980",Projeto
v5.0.0-V13.4.4,Sim,Pass,"Config fail-fast, Docker secrets, ACL/redes e imagem mínima demonstram o controle.","Config fail-fast, secrets por arquivo, ACL MQTT, redes internas e runtime mínimo",runtime.test.js; security.test.js; smoke Compose; Trivy,"c492b8d, a3e9974; run 30087971980",Projeto
v5.0.0-V13.4.5,Sim,Pass,"Config fail-fast, Docker secrets, ACL/redes e imagem mínima demonstram o controle.","Config fail-fast, secrets por arquivo, ACL MQTT, redes internas e runtime mínimo",runtime.test.js; security.test.js; smoke Compose; Trivy,"c492b8d, a3e9974; run 30087971980",Projeto
v5.0.0-V14.1.1,Sim,Fail,"Ativos sensíveis foram listados, mas não classificados em níveis de proteção.","Access token em memória, refresh HttpOnly e redação de segredos",auth store tests; redact.test.js; auth.test.js,"07a876b, 99d8846",Pendente decisão humana
v5.0.0-V14.1.2,Sim,Fail,Não há requisitos documentados por nível de proteção de dados.,"Access token em memória, refresh HttpOnly e redação de segredos",auth store tests; redact.test.js; auth.test.js,"07a876b, 99d8846",Pendente decisão humana
v5.0.0-V14.2.1,Sim,Pass,"Tokens não usam URL/Web Storage, não há tracker/cache servidor e logout limpa a sessão.","Access token em memória, refresh HttpOnly e redação de segredos",auth store tests; redact.test.js; auth.test.js,"07a876b, 99d8846",Projeto
v5.0.0-V14.2.2,Sim,Pass,"Tokens não usam URL/Web Storage, não há tracker/cache servidor e logout limpa a sessão.","Access token em memória, refresh HttpOnly e redação de segredos",auth store tests; redact.test.js; auth.test.js,"07a876b, 99d8846",Projeto
v5.0.0-V14.2.3,Sim,Pass,"Tokens não usam URL/Web Storage, não há tracker/cache servidor e logout limpa a sessão.","Access token em memória, refresh HttpOnly e redação de segredos",auth store tests; redact.test.js; auth.test.js,"07a876b, 99d8846",Projeto
v5.0.0-V14.2.4,Sim,Fail,"Sem níveis de proteção, não é possível provar a aplicação integral dos controles definidos.","Access token em memória, refresh HttpOnly e redação de segredos",auth store tests; redact.test.js; auth.test.js,"07a876b, 99d8846",Pendente decisão humana
v5.0.0-V14.3.1,Sim,Pass,"Tokens não usam URL/Web Storage, não há tracker/cache servidor e logout limpa a sessão.","Access token em memória, refresh HttpOnly e redação de segredos",auth store tests; redact.test.js; auth.test.js,"07a876b, 99d8846",Projeto
v5.0.0-V14.3.2,Sim,Fail,Respostas autenticadas não definem Cache-Control: no-store de forma abrangente.,"Access token em memória, refresh HttpOnly e redação de segredos",auth store tests; redact.test.js; auth.test.js,"07a876b, 99d8846",Pendente decisão humana
v5.0.0-V14.3.3,Sim,Pass,"Tokens não usam URL/Web Storage, não há tracker/cache servidor e logout limpa a sessão.","Access token em memória, refresh HttpOnly e redação de segredos",auth store tests; redact.test.js; auth.test.js,"07a876b, 99d8846",Projeto
v5.0.0-V15.1.1,Sim,Fail,Não há SLA documentado de correção/upgrade por severidade.,"Lockfiles, SHA/digests, CodeQL, Gitleaks, audit, Trivy, SBOM e DAST",workflow CI completo,"38f6bd2, a3e9974; run 30087971980",Pendente decisão humana
v5.0.0-V15.1.2,Sim,Pass,"Lockfiles, SBOM, scans, imagens mínimas e validação estrita demonstram o controle.","Lockfiles, SHA/digests, CodeQL, Gitleaks, audit, Trivy, SBOM e DAST",workflow CI completo,"38f6bd2, a3e9974; run 30087971980",Projeto
v5.0.0-V15.1.3,Sim,Pass,"Lockfiles, SBOM, scans, imagens mínimas e validação estrita demonstram o controle.","Lockfiles, SHA/digests, CodeQL, Gitleaks, audit, Trivy, SBOM e DAST",workflow CI completo,"38f6bd2, a3e9974; run 30087971980",Projeto
v5.0.0-V15.2.1,Sim,Fail,Sem SLA de remediação não é possível provar que todas as dependências estão dentro do prazo.,"Lockfiles, SHA/digests, CodeQL, Gitleaks, audit, Trivy, SBOM e DAST",workflow CI completo,"38f6bd2, a3e9974; run 30087971980",Pendente decisão humana
v5.0.0-V15.2.2,Sim,Pass,"Lockfiles, SBOM, scans, imagens mínimas e validação estrita demonstram o controle.","Lockfiles, SHA/digests, CodeQL, Gitleaks, audit, Trivy, SBOM e DAST",workflow CI completo,"38f6bd2, a3e9974; run 30087971980",Projeto
v5.0.0-V15.2.3,Sim,Pass,"Lockfiles, SBOM, scans, imagens mínimas e validação estrita demonstram o controle.","Lockfiles, SHA/digests, CodeQL, Gitleaks, audit, Trivy, SBOM e DAST",workflow CI completo,"38f6bd2, a3e9974; run 30087971980",Projeto
v5.0.0-V15.3.1,Sim,Pass,"Lockfiles, SBOM, scans, imagens mínimas e validação estrita demonstram o controle.","Lockfiles, SHA/digests, CodeQL, Gitleaks, audit, Trivy, SBOM e DAST",workflow CI completo,"38f6bd2, a3e9974; run 30087971980",Projeto
v5.0.0-V15.3.2,Não,N/A,O backend não faz chamadas para URLs externas.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V15.3.3,Sim,Pass,"Lockfiles, SBOM, scans, imagens mínimas e validação estrita demonstram o controle.","Lockfiles, SHA/digests, CodeQL, Gitleaks, audit, Trivy, SBOM e DAST",workflow CI completo,"38f6bd2, a3e9974; run 30087971980",Projeto
v5.0.0-V15.3.4,Sim,Pass,"Lockfiles, SBOM, scans, imagens mínimas e validação estrita demonstram o controle.","Lockfiles, SHA/digests, CodeQL, Gitleaks, audit, Trivy, SBOM e DAST",workflow CI completo,"38f6bd2, a3e9974; run 30087971980",Projeto
v5.0.0-V15.3.5,Sim,Pass,"Lockfiles, SBOM, scans, imagens mínimas e validação estrita demonstram o controle.","Lockfiles, SHA/digests, CodeQL, Gitleaks, audit, Trivy, SBOM e DAST",workflow CI completo,"38f6bd2, a3e9974; run 30087971980",Projeto
v5.0.0-V15.3.6,Sim,Pass,"Lockfiles, SBOM, scans, imagens mínimas e validação estrita demonstram o controle.","Lockfiles, SHA/digests, CodeQL, Gitleaks, audit, Trivy, SBOM e DAST",workflow CI completo,"38f6bd2, a3e9974; run 30087971980",Projeto
v5.0.0-V15.3.7,Sim,Pass,"Lockfiles, SBOM, scans, imagens mínimas e validação estrita demonstram o controle.","Lockfiles, SHA/digests, CodeQL, Gitleaks, audit, Trivy, SBOM e DAST",workflow CI completo,"38f6bd2, a3e9974; run 30087971980",Projeto
v5.0.0-V16.1.1,Sim,Fail,"Não existe inventário completo de logs, destinos, retenção, acesso e uso.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Pendente decisão humana
v5.0.0-V16.2.1,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.2.2,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.2.3,Sim,Fail,"Sem inventário, não é possível provar que todos os destinos de log são autorizados.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Pendente decisão humana
v5.0.0-V16.2.4,Sim,Fail,Não existe processador central de logs nem evidência de correlação de todos os formatos.,"Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Pendente decisão humana
v5.0.0-V16.2.5,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.3.1,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.3.2,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.3.3,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.3.4,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.4.1,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.4.2,Sim,Fail,Logs não possuem armazenamento protegido contra alteração/acesso não autorizado demonstrado.,"Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Pendente decisão humana
v5.0.0-V16.4.3,Sim,Fail,Logs não são enviados com segurança para sistema logicamente separado.,"Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Pendente decisão humana
v5.0.0-V16.5.1,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.5.2,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V16.5.3,Sim,Pass,"Auditoria estruturada, UTC, redação e fail-closed são cobertos por testes.","Auditoria JSON/correlation ID, redação, métricas/alertas e fail-closed",securityAudit.test.js; redact.test.js; processLifecycle.test.js; appSecurity.test.js,99d8846; infrastructure/prometheus/alerts.yml,Projeto
v5.0.0-V17.1.1,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V17.2.1,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V17.2.2,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V17.2.3,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V17.2.4,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V17.3.1,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V17.3.2,Não,N/A,"A aplicação não implementa WebRTC, TURN, DTLS-SRTP ou signaling de mídia.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
